cost;time;% error;2465
2626;262;6%;2465
2604;355;5%;2465
2598;347;5%;2465
2585;226;4%;2465
2597;338;5%;2465
2608;305;5%;2465
2624;196;6%;2465
2582;225;4%;2465
2560;229;3%;2465
2569;259;4%;2465
path of best solution
175->291->204->23->14->62->13->205->289->24->36->241->113->46->38->87->195->135->270->19->18->402->287->83->43->34->295->103->308->394->225->58->8->6->163->3->2->61->107->386->47->112->237->82->247->33->312->35->217->84->272->28->339->360->213->268->16->152->310->29->77->31->52->40->39->78->226->147->79->69->245->81->22->21->65->314->59->172->26->109->42->130->207->45->333->267->281->166->67->66->60->44->88->96->94->90->72->57->169->27->11->92->51->49->37->157->301->120->392->351->293->93->145->340->372->41->32->364->303->71->128->150->311->334->99->389->133->196->0->335->373->355->115->114->353->263->244->80->10->201->89->302->118->376->68->221->300->278->122->119->168->104->9->384->383->361->146->144->105->391->154->106->359->387->203->264->274->317->108->256->249->265->275->210->110->326->258->131->374->363->315->123->192->189->170->284->290->125->74->214->401->216->200->198->331->323->305->215->73->162->48->358->327->234->228->224->240->219->218->86->101->285->282->357->328->370->322->132->243->134->306->319->161->148->325->248->176->251->280->279->231->288->137->54->254->223->344->345->173->354->342->266->142->97->188->276->259->140->149->347->352->208->375->371->227->381->332->299->298->50->56->91->253->190->138->337->127->399->377->159->378->398->396->156->390->126->271->350->232->194->380->379->366->292->329->294->330->343->164->25->235->121->318->222->185->230->382->320->85->179->368->233->324->212->286->273->395->246->153->75->236->98->193->171->63->388->348->177->211->95->55->180->165->283->277->141->116->182->336->321->362->111->369->202->64->15->297->209->356->186->53->400->220->197->304->260->102->252->191->187->183->17->12->238->229->393->178->100->242->70->349->309->184->174->250->296->136->257->262->261->158->1->206->30->313->7->341->129->367->76->307->20->139->4->160->365->155->143->385->199->181->346->338->151->124->269->316->255->239->117->167->397->5->175
